FREQ NFREQ=66 ORDER=DEC,ZROT,ZXXR ROT=ZROT,ZXXI ROT=ZROT,ZXX.VAR ROT=ZROT,ZXYR ROT=ZROT,ZXYI ROT=ZROT,ZXY.VAR ROT=ZROT,ZYXR ROT=ZROT,ZYXI ROT=ZROT,ZYX.VAR ROT=ZROT,ZYYR ROT=ZROT,ZYYI ROT=ZROT,ZYY.VAR ROT=ZROT,RHOXY ROT=NONE,RHOXY.ERR ROT=NONE,PHSXY ROT=NONE,PHSXY.ERR ROT=NONE,RHOYX ROT=NONE,RHOYX.ERR ROT=NONE,PHSYX ROT=NONE,PHSYX.ERR ROT=NONE,TXR.EXP ROT=ZROT,TXI.EXP ROT=ZROT,TXVAR.EXP ROT=ZROT,TYR.EXP ROT=ZROT,TYI.EXP ROT=ZROT,TYVAR.EXP ROT=ZROT
9.96094,0.0,-8.21365,-0.783883,0.00408702,30.6761,43.4605,0.00792568,-60.1874,-46.9075,0.0110256,34.5961,22.4692,0.0213812,56.8186,0.00145362,54.7841,0.0958872,116.913,0.00119522,-142.069,0.0788419,0.212705,0.0651886,9.55506e-06,-0.36916,-0.0181275,1.85295e-05
7.61719,0.0,-8.43732,-0.893679,0.0022385,28.0242,37.1959,0.00478663,-57.7367,-39.5082,0.00710394,32.0304,21.3506,0.0151905,56.9473,0.00129036,53.0048,0.0851175,128.51,0.00104644,-145.617,0.0690274,0.197369,0.0719824,1.11383e-05,-0.374472,-0.0338608,2.38172e-05
6.50391,0.0,-8.20833,-0.727544,2.26448e-05,24.8771,32.0708,5.60553e-05,-55.3592,-35.0237,7.56905e-05,28.9529,19.8001,0.000187365,50.6588,0.000160222,52.1995,0.0105689,131.961,0.000115356,-147.68,0.00760937,0.184591,0.0791147,1.41019e-07,-0.362931,-0.0598892,3.4908e-07
5.21484,0.0,-8.0243,-0.916844,7.2773e-08,22.4573,28.7225,1.97684e-07,-53.0647,-32.27,2.66827e-07,26.6855,19.0879,7.24821e-07,50.9817,1.05922e-05,51.9792,0.000698708,147.932,7.22424e-06,-148.695,0.000476541,0.181667,0.084156,1.0637e-09,-0.345614,-0.079783,2.88949e-09
4.10156,0.0,-7.88738,-1.16002,2.23842e-05,20.0132,24.525,5.75484e-05,-49.9638,-29.0617,9.72767e-05,24.1019,18.2277,0.000250092,48.8596,0.00020816,50.7843,0.0137311,162.912,0.000148212,-149.815,0.00977668,0.174824,0.078272,3.42601e-07,-0.33424,-0.104025,8.80806e-07
3.22266,0.0,-7.68684,-1.36042,5.7143e-06,17.834,20.8988,1.33918e-05,-47.0901,-26.4517,3.38459e-05,21.4968,17.4953,7.93198e-05,46.8439,0.000115695,49.5242,0.00763174,181.042,9.35591e-05,-150.676,0.00617155,0.161057,0.077514,1.58386e-07,-0.30766,-0.116436,3.71186e-07
2.57812,0.0,-7.51213,-1.53446,0.000533197,16.1969,18.0997,0.00105215,-44.4513,-24.4837,0.00366363,19.1678,16.7262,0.00722939,45.7649,0.00115998,48.1755,0.076517,199.786,0.00103598,-151.154,0.0683374,0.132677,0.0756877,2.34447e-05,-0.280784,-0.102702,4.62631e-05
2.05078,0.0,-7.33252,-1.71742,0.00238821,14.8579,15.7116,0.00392008,-41.7308,-22.6995,0.0181767,17.0111,15.9952,0.0298357,45.6032,0.00251489,46.5997,0.165893,220.085,0.00246509,-151.456,0.162608,0.11438,0.0630917,0.000286154,-0.257246,-0.0874171,0.000469701
1.64062,0.0,-7.10583,-1.89591,0.000892246,13.4068,13.7436,0.00169753,-39.0948,-21.1977,0.0086881,14.5252,15.2065,0.0165294,44.9374,0.00186393,45.7108,0.122953,241.097,0.0018205,-151.533,0.120088,0.105704,0.0454486,9.59305e-05,-0.23138,-0.0731359,0.000182511
1.28906,0.0,-6.85609,-2.09335,0.000458218,12.3557,12.2911,0.000998209,-36.3737,-19.7041,0.00498322,12.3548,14.7355,0.0108557,47.1247,0.00157463,44.8497,0.103869,265.51,0.0014822,-151.555,0.0977721,0.0965244,0.0249667,7.03176e-05,-0.223486,-0.0475791,0.000153184
