projection_x_coordinate,projection_y_coordinate,projection_z_coordinate,inverted_magnetic_field,dT
757000.0,-2169500.0,-10000.0,0.7581575910013716,15.0
767000.0,-2169500.0,-10000.0,11.805132003069655,15.0
777000.0,-2169500.0,-10000.0,12.210367665384146,15.0
787000.0,-2169500.0,-10000.0,13.605426491498037,15.0
797000.0,-2169500.0,-10000.0,14.736940419162062,15.0
927000.0,-2169500.0,-10000.0,2.4123431644518507,15.0
737000.0,-2159500.0,-10000.0,-13.040739383977126,15.0
747000.0,-2159500.0,-10000.0,-2.1694886922145034,15.0
757000.0,-2159500.0,-10000.0,11.84940529586558,15.0
767000.0,-2159500.0,-10000.0,16.997250149347106,15.0
777000.0,-2159500.0,-10000.0,11.954680574546817,15.0
787000.0,-2159500.0,-10000.0,10.10511677714284,15.0
797000.0,-2159500.0,-10000.0,11.38027866047139,15.0
807000.0,-2159500.0,-10000.0,7.896110504949461,15.0
907000.0,-2159500.0,-10000.0,26.181600104015484,15.0
917000.0,-2159500.0,-10000.0,14.982052471088952,15.0
927000.0,-2159500.0,-10000.0,2.046164044690906,15.0
937000.0,-2159500.0,-10000.0,-7.522142098898015,15.0
987000.0,-2159500.0,-10000.0,-11.984293858351375,15.0
997000.0,-2159500.0,-10000.0,-9.925043231990681,15.0
1007000.0,-2159500.0,-10000.0,-2.4803926789418163,15.0
1027000.0,-2159500.0,-10000.0,13.100628652078095,15.0
1037000.0,-2159500.0,-10000.0,22.598960791308194,15.0
727000.0,-2149500.0,-10000.0,6.51315580274207,15.0
737000.0,-2149500.0,-10000.0,3.147958436087589,15.0
747000.0,-2149500.0,-10000.0,3.994994625345338,15.0
757000.0,-2149500.0,-10000.0,7.6534223713890555,15.0
767000.0,-2149500.0,-10000.0,12.736939447266337,15.0
777000.0,-2149500.0,-10000.0,5.517227000183877,15.0
787000.0,-2149500.0,-10000.0,-0.559826636758662,15.0
797000.0,-2149500.0,-10000.0,1.7382563525206856,15.0
807000.0,-2149500.0,-10000.0,-5.6012334385544165,15.0
817000.0,-2149500.0,-10000.0,-16.970769785235344,15.0
897000.0,-2149500.0,-10000.0,17.981637003623565,15.0
907000.0,-2149500.0,-10000.0,19.55212911322915,15.0
917000.0,-2149500.0,-10000.0,11.142084244255923,15.0
927000.0,-2149500.0,-10000.0,-0.9108976425303709,15.0
937000.0,-2149500.0,-10000.0,-4.316689376809401,15.0
947000.0,-2149500.0,-10000.0,-2.9181532754040305,15.0
967000.0,-2149500.0,-10000.0,11.732802642728078,15.0
977000.0,-2149500.0,-10000.0,5.366195938471589,15.0
987000.0,-2149500.0,-10000.0,-7.550128424896114,15.0
997000.0,-2149500.0,-10000.0,-9.440239946564917,15.0
1007000.0,-2149500.0,-10000.0,-9.56426477845847,15.0
1017000.0,-2149500.0,-10000.0,-3.885545271005376,15.0
