101250.07	7700	239.3
101249.97	7599.96	239.26
101250.02	7499.93	239.15
101250.02	7400.02	239.09
101250.02	7299.98	239.05
101249.94	7200.05	238.93
101249.99	7100.04	238.86
101250.04	6999.89	238.8
101250.07	6899.92	238.76
101250.01	6799.99	238.39
101250.02	6699.95	239.09
101249.95	6599.95	238.7
101250.06	6500	238.68
101250.01	6399.99	238.63
101250.03	6299.94	238.67
101250.04	6200.04	238.68
101250.01	6100.01	238.72
101249.97	6000.01	238.82
101250.02	5899.98	238.92
101249.97	5799.96	239.03
101249.95	5699.97	239.18
101250.04	5599.93	239.36
101250	5499.93	239.54
101249.98	5400.06	239.69
101250.04	5299.92	239.81
101249.96	5200	239.91
101250.12	5099.95	240.1
101250.04	4999.98	240.28
101249.96	4899.92	240.44
101250.02	4799.92	240.53
101250.08	4699.97	240.6
95000.01	8850.03	242.32
95000.01	8800.08	242.53
94999.94	8750	242.54
94999.93	8699.94	242.77
94999.92	8649.96	242.85
94999.94	8599.99	242.86
95000.02	8550.02	242.73
94999.94	8499.95	242.77
95000.08	8449.95	242.9
95000.02	8400.05	242.99
95000.02	8350.09	242.98
95000.04	8300.04	243.2
94999.99	8250.05	243.09
94999.97	8200.06	243.22
95000.05	8150.06	243.37
94999.96	8100	243.48
94999.99	7999.96	243.49
94999.89	7899.93	243.85
95000.03	7800.09	244.1
95000.02	7700.01	244.34
94999.98	7599.98	244.25
95000.08	7499.94	244.26
94999.98	7400.02	244.6
94999.98	7299.93	244.89
95000.01	7199.98	245.61
95000.09	7100.05	246.04
95000.02	7000.05	246.53
94999.95	6900.03	246.89
94999.91	6800.04	247.52
94999.95	6700.03	248.2
94999.98	6599.95	248.31
95000.04	6499.92	248.21
94999.97	6399.96	247.74
94999.96	6299.95	247.06
94999.96	6200.05	246.56
95000	6099.96	246.31
94999.99	6000.06	246.21
94999.92	5900.07	246.2
94999.96	5800.03	246.17
95000.09	5699.98	246.04
94999.99	5599.99	245.8
95000	5499.94	245.61
95000.03	5399.95	245.42
95000	5299.98	244.9
94999.97	5199.99	244.57
94999.97	5100.02	244.07
94999.98	5000.04	243.63
95000.04	4900.08	243.68
94999.99	4800.05	243.91
94999.99	4699.95	244.12
94999.99	4599.99	244.57
94999.94	4500.03	244.78
95000.01	4400.04	245.31
95000.02	4299.92	245.73
94999.98	4200.07	246.13
95000.02	4100	246.71
94999.98	4000.04	247.2
95000.08	3900.04	247.66
94999.94	3799.95	248.11
94999.96	3699.94	248.55
95000.02	3600.01	248.79
94999.95	3500.08	248.75
101250.05	4599.93	240.64
101249.94	4500.04	240.65
101250.03	4400	240.64
101250.03	4300	240.62
101250.07	4200.02	240.68
101250.01	4100	240.69
101250.02	4000.02	240.71
100749.93	7700.06	240.59
100749.97	7599.99	240.52
100750.06	7500.01	240.37
100750.03	7399.95	240.23
