Filename,x,y,Base
AGAP_BAS_Grav_grid,3357937.453375,982784.472083,981970.73
AGAP_BAS_Grav_grid,3357950.836562,982784.472083,981970.73
AGAP_BAS_Grav_grid,3357964.433063,982784.472083,981970.73
AGAP_BAS_Grav_grid,3357978.231504,982784.472083,981970.73
AGAP_BAS_Grav_grid,3357992.249051,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358006.484629,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358020.948488,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358035.611123,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358050.45022,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358065.486537,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358080.766138,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358096.271515,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358111.956831,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358127.810727,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358143.803868,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358159.888754,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358175.947773,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358191.909156,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358207.710778,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358223.26713,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358238.436329,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358253.133232,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358267.293975,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358280.846046,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358293.729076,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358305.965269,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358317.675471,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358328.901914,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358339.759997,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358350.437191,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358361.034585,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358371.580211,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358382.141219,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358392.771463,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358403.467682,982784.472083,981970.73
AGAP_BAS_Grav_grid,3358414.223504,982784.472083,981970.73
