DEPTH,AC,CAL,CNL,DEN,GR,RT,RXO,SP
1650.0,66.618,8.895,11.13,2.649,90.872,261.758,257.33,357.13
1650.125,67.133,8.838,11.431,2.666,90.89,264.212,260.44,357.476
1650.25,67.682,8.801,11.727,2.677,90.445,267.404,264.274,358.085
1650.375,68.504,8.77,12.347,2.677,91.916,273.778,271.721,359.246
1650.5,69.05,8.744,12.986,2.666,94.879,278.736,277.743,360.012
1650.625,69.374,8.709,14.097,2.65,98.316,280.609,281.724,360.5
1650.75,69.581,8.676,16.115,2.633,102.257,276.514,281.698,361.034
1650.875,69.521,8.689,17.669,2.626,106.366,268.153,276.527,361.481
1651.0,69.182,8.772,19.94,2.621,118.7,248.666,262.43,362.578
1651.125,68.996,8.828,20.316,2.62,123.713,239.517,255.445,363.168
1651.25,68.96,8.887,19.701,2.623,124.445,232.156,249.837,363.408
1651.375,69.199,8.931,18.489,2.625,122.285,229.512,248.13,363.117
1651.5,69.653,8.954,17.631,2.624,120.975,231.9,250.669,362.684
1651.625,71.234,8.968,17.532,2.621,121.44,241.632,260.166,362.6
1651.75,72.481,8.945,18.152,2.618,121.926,247.398,266.083,363.2
1651.875,73.936,8.906,18.978,2.61,123.496,251.672,271.613,364.097
1652.0,76.851,8.811,20.392,2.583,132.119,250.777,278.169,366.236
1652.125,78.444,8.767,21.323,2.564,138.476,244.313,278.852,367.337
1652.25,80.446,8.744,23.473,2.529,146.436,233.691,279.712,368.076
1652.375,81.999,8.752,26.228,2.478,153.515,225.579,282.778,368.113
1652.5,82.627,8.782,28.438,2.425,157.552,223.85,287.514,367.749
1652.625,82.498,8.88,31.225,2.343,158.884,228.029,298.223,367.199
1652.75,81.795,8.943,31.379,2.329,156.493,230.833,301.883,367.185
1652.875,79.849,9.013,29.59,2.361,154.516,226.542,294.656,367.773
1653.0,78.118,9.045,27.627,2.406,155.768,216.986,281.228,368.408
1653.125,76.152,9.062,25.718,2.457,157.409,206.761,268.899,368.956
1653.25,73.712,9.077,23.666,2.521,156.113,202.644,267.868,369.156
1653.375,72.378,9.058,22.596,2.56,152.147,209.988,282.853,369.055
1653.5,71.305,9.008,21.487,2.608,146.814,222.494,306.282,369.025
1653.625,70.346,8.872,19.752,2.694,137.693,247.004,353.322,369.414
1653.75,70.506,8.799,19.231,2.714,135.883,253.155,368.067,369.692
1653.875,71.961,8.73,19.35,2.719,140.236,241.425,354.578,369.937
1654.0,73.712,8.712,19.927,2.727,145.935,222.858,325.363,370.037
1654.125,75.861,8.723,21.144,2.733,151.377,204.371,290.057,370.019
1654.25,78.778,8.744,23.532,2.716,157.652,191.92,257.32,370.226
1654.375,80.325,8.76,25.726,2.674,161.515,197.9,255.089,370.783
1654.5,82.473,8.793,30.337,2.539,167.122,237.583,290.445,371.84
1654.625,83.303,8.806,32.362,2.452,167.964,275.546,333.746,372.015
1654.75,83.856,8.834,33.915,2.37,165.532,339.544,414.883,371.421
1654.875,83.865,8.879,34.709,2.334,161.078,405.23,502.266,370.492
1655.0,83.304,8.923,34.454,2.352,157.436,447.435,559.339,369.799
1655.125,81.94,8.973,32.628,2.401,154.506,486.657,605.972,369.496
1655.25,79.717,9.047,29.225,2.465,151.569,528.384,643.233,369.975
1655.375,78.229,9.123,27.24,2.484,148.825,546.483,649.684,370.988
1655.5,75.929,9.289,25.213,2.491,141.374,552.107,631.556,373.423
1655.625,74.992,9.353,24.94,2.487,138.909,532.848,603.114,374.65
1655.75,73.926,9.391,24.956,2.472,141.252,481.231,544.395,375.765
1655.875,73.075,9.401,24.91,2.451,146.967,414.533,472.453,376.282
1656.0,72.58,9.405,24.571,2.434,152.08,356.078,409.308,376.14
1656.125,71.974,9.457,23.496,2.44,161.309,246.407,286.711,375.806
1656.25,71.754,9.497,22.91,2.467,165.75,195.766,228.629,376.271
1656.375,71.465,9.493,22.312,2.53,167.229,143.39,167.79,378.376
1656.5,71.254,9.419,22.171,2.576,164.659,119.383,139.742,380.396
1656.625,71.062,9.308,22.298,2.603,161.304,111.002,129.934,382.066
1656.75,70.84,9.185,22.595,2.627,158.833,107.368,125.906,383.56
1656.875,70.668,9.106,22.987,2.646,156.925,106.43,125.138,384.327
1657.0,70.6,9.083,23.343,2.655,154.559,105.642,124.341,384.516
1657.125,70.497,9.08,23.944,2.644,151.485,100.776,118.037,384.981
1657.25,70.406,9.123,24.093,2.618,153.334,96.839,112.587,385.27
1657.375,70.141,9.318,23.935,2.556,160.571,91.243,103.881,385.91
1657.5,69.832,9.53,23.454,2.507,166.188,89.107,99.267,386.584
1657.625,69.377,9.731,22.0,2.465,168.255,92.993,100.941,387.324
1657.75,68.582,9.89,19.38,2.429,165.806,105.779,111.292,387.905
1657.875,67.985,9.879,17.876,2.427,160.798,119.473,123.862,388.005
1658.0,66.835,9.774,16.336,2.452,150.22,146.987,149.82,388.129
1658.125,66.234,9.753,16.017,2.466,145.408,158.301,160.43,387.973
1658.25,65.723,9.772,15.762,2.474,141.76,164.975,166.443,387.951
1658.375,65.069,9.816,15.134,2.48,138.991,166.659,167.234,388.579
1658.5,64.675,9.783,14.646,2.493,139.829,163.976,164.128,389.355
1658.625,64.335,9.61,14.453,2.519,146.452,155.22,155.316,389.972
1658.75,63.958,9.366,14.442,2.54,159.619,137.465,137.512,389.89
1658.875,63.786,9.338,14.298,2.523,167.424,123.775,123.585,389.216
1659.0,63.661,9.576,13.277,2.452,170.516,104.101,103.145,387.802
1659.125,63.701,9.707,12.588,2.431,164.402,99.256,97.901,387.476
1659.25,63.792,9.708,12.023,2.452,151.813,98.494,96.9,387.739
1659.375,63.85,9.634,11.761,2.494,139.998,99.834,98.315,388.192
1659.5,63.823,9.63,11.709,2.516,134.078,100.192,98.981,388.516
1659.625,63.664,9.92,11.478,2.494,127.86,95.082,94.3,387.796
1659.75,63.579,10.153,11.308,2.474,126.72,90.128,89.177,386.568
1659.875,63.532,10.327,11.222,2.468,127.303,85.418,83.932,385.036
1660.0,63.548,10.34,11.474,2.495,133.193,81.606,78.485,382.609
1660.125,63.558,10.219,11.722,2.514,138.017,83.189,79.06,381.975
1660.25,63.473,10.064,11.74,2.518,142.4,88.726,83.364,381.699
1660.375,63.285,9.948,11.295,2.508,144.467,95.685,89.267,381.757
1660.5,63.086,9.872,10.54,2.499,145.067,101.003,93.973,381.829
1660.625,62.793,9.686,9.307,2.518,149.874,109.414,101.541,381.223
1660.75,62.75,9.595,9.168,2.543,153.765,112.973,104.827,380.67
1660.875,62.895,9.522,9.917,2.564,158.229,115.033,106.922,380.238
1661.0,63.085,9.495,10.706,2.548,161.602,113.24,105.457,380.322
1661.125,63.271,9.504,11.049,2.474,167.105,106.053,98.85,380.674
1661.25,63.443,9.639,10.852,2.342,174.113,93.156,86.674,380.879
1661.375,63.488,9.909,10.491,2.265,174.019,84.949,78.683,380.507
